episode,episode_return,success,collision,offroad_rate,unsafe_headway_rate,overspeed_rate,low_ttc_rate,mean_cost_collision,mean_cost_headway,mean_cost_overspeed,mean_cost_comfort,mean_cost_total,mean_cost_lane,lambda_collision,lambda_headway,lambda_overspeed,lambda_comfort,lambda_lane,qc_collision,qc_headway,qc_overspeed,qc_comfort,qc_lane,ema_collision_cost,ema_headway_cost,ema_overspeed_cost,ema_comfort_cost,ema_lane_cost
0,119.26561881310641,1.0,0.0,0.0,0.04,0.195,0.0,0.0030790435857478067,0.028826458004685956,0.4479672557126246,0.09850653436986273,0.35427654020034033,0.03051486464690412,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,105.62567123270009,1.0,0.0,0.0,0.125,0.22,0.0,1.0188067878411382e-05,0.03940092297925407,0.40002882551760377,0.12004176793298527,0.332622407483166,0.02553873690295343,0.04265371710062027,0.04614238813519478,0.14117275178432465,0.044481322169303894,0.047635484486818314,3.0056202376727015e-05,0.001150372438132763,0.008445130661129951,0.003221153747290373,0.0016677039675414562,0.002666373380676484,0.04810989352404025,0.5063500749519504,0.12746485970191485,0.0342855883873253
2,23.148603216875227,0.0,1.0,0.0,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07471268612627299,0.05994759489291317,0.39774351093554206,0.09063253079449551,0.40872506798724717,0.007279259877749855,0.040627237409353256,0.0451696552336216,0.16613294184207916,0.04300583899021149,0.04699946194887161,0.00020609283819794655,0.001338168396614492,0.009042797610163689,0.003259423654526472,0.0019582868553698063,0.003481679074374852,0.04708504292037282,0.5087124486110832,0.12811334319365866,0.03238458262899706
3,104.96867909846117,1.0,0.0,0.0,0.155,0.14,0.0,0.0,0.032919434146433335,0.39316137656245204,0.08231468386532882,0.304600204931606,0.015370996710642248,0.03618283197283745,0.041620317846536636,0.29413390159606934,0.03537251055240631,0.043707385659217834,0.0005209512310102582,0.0013452735729515553,0.013009956106543541,0.006067341193556786,0.002108371816575527,0.01214058182646896,0.053892057716459336,0.5127401557680662,0.1257203774806595,0.026248930403951938
4,93.72970557455842,0.0,0.0,0.005747126436781609,0.0,0.21264367816091953,0.0,0.0,0.0004100902125330406,0.4442334238099575,0.13902344735689243,0.31724099993599686,0.031535203163513194,0.03146306052803993,0.0372309572994709,0.405494749546051,0.02862962707877159,0.040818896144628525,0.0007950701983645558,0.0007437862223014235,0.016600599512457848,0.007999335415661335,0.0031322024296969175,0.011053623511364158,0.0416236324130879,0.4948397024362023,0.12882411578163788,0.027000796548525753
5,-1.8202448688467003,0.0,0.0,0.125,0.0,0.25,0.0,0.0016311416720428112,0.01989426791098628,0.5998092212102574,0.39622134324109204,0.5962098851598394,0.14713785056804424,0.03127637133002281,0.037003230303525925,0.4106147885322571,0.028329916298389435,0.04068603739142418,0.0012299923691898584,0.000582704902626574,0.018399439752101898,0.008517296984791756,0.0032121362164616585,0.011580891734753572,0.041754945685930994,0.4940808427869955,0.13049931685917435,0.027208138270057275
6,2.449690737637436,0.0,0.0,0.0625,0.0625,0.375,0.0,0.019657717174847402,0.06060909477154809,0.5340030623892164,0.26727508542797357,0.5409974519123808,0.0829726657027771,0.03082621656358242,0.0365290530025959,0.4208548665046692,0.027740072458982468,0.04042219743132591,0.0010942332446575165,0.0005816016928292811,0.01748652756214142,0.00866334605962038,0.003275785129517317,0.010781005239085473,0.04018649802484213,0.49739499306091234,0.13512626459997717,0.029246271505595407
7,-1.3571319726975832,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.01746791237461292,0.3770536633861885,0.28509729207283063,0.41332302234568663,0.11815026871277705,0.030523374676704407,0.03621292859315872,0.42725491523742676,0.0273717250674963,0.040258217602968216,0.0015533759724348783,0.0007325542392209172,0.02128482237458229,0.007491176016628742,0.0035712860990315676,0.010288001180900456,0.03862235510336751,0.5016756826279163,0.13528367113175263,0.030589794912275856
8,2.58433942978822,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.03910561920947395,0.28663958607533635,0.333521212732625,0.4546873482735919,0.17262101772418398,0.030286753550171852,0.03596213459968567,0.4323749542236328,0.027084344998002052,0.040128178894519806,0.0012678473722189665,0.0009424090967513621,0.019354183226823807,0.008000945672392845,0.0032527828589081764,0.010107574870480461,0.038294703280405296,0.5013487959682285,0.138389064853907,0.032524575052667336
9,-0.8752654309189702,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.06761890203474857,0.05351869758736183,0.09388827624080077,0.2964746406443966,0.41020087329734134,0.1626323779044368,0.030066469684243202,0.03573917970061302,0.4368549883365631,0.026832671836018562,0.04001382365822792,0.0011322979116812348,0.001040303148329258,0.018836023285984993,0.009106878191232681,0.0032474095933139324,0.009802266449018647,0.0378638908268584,0.5001241199065836,0.13905368165560952,0.032521283028550584
10,-0.6663181071525344,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.013905887188469185,0.09711736555237618,0.1519830006833709,0.33378843683969184,0.2106452731260166,0.029740232974290848,0.035429779440164566,0.4432550370693207,0.026475094258785248,0.03985236957669258,0.000987255247309804,0.001171823125332594,0.01902872696518898,0.00875159353017807,0.003504222258925438,0.00950619393389092,0.03870634112671027,0.5004145120842841,0.1411676648007735,0.03518317038700732
11,0.469064556942564,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1348211760228597,0.4847977678302063,0.48397645036055065,0.3083512764902732,0.029570115730166435,0.0352727547287941,0.44645506143569946,0.026298483833670616,0.03977265954017639,0.0010931966826319695,0.0013830163516104221,0.01899372786283493,0.008417051285505295,0.0038196584209799767,0.009174451681005428,0.038486338033053964,0.5001870877444926,0.14255634462507888,0.0371283947727743
